disaster_id,alertlevel,alertscore,episodealertlevel,episodealertscore,country,fromdate,todate,severity,source,iso3,eventtype,GDACS ID,People affected,Countries,Duration (days),Burned area
WF_COD_20210222_36,Green,1,GREEN,1,The Democratic Republic of Congo,2/22/2021,2021-03-05T00:00:00,10113,GWIS,COD,WF,WF 1000148,724 in the burned area,The Democratic Republic of Congo,11,10113 ha
WF_COD_20210222_37,Green,1,GREEN,1,The Democratic Republic of Congo,2/22/2021,2021-03-05T00:00:00,7004,GWIS,COD,WF,WF 1000149,2535 in the burned area,The Democratic Republic of Congo,11,7004 ha
WF_COD_20210220_38,Green,1,GREEN,1,The Democratic Republic of Congo,2/20/2021,2021-03-05T00:00:00,5181,GWIS,COD,WF,WF 1000150,92 in the burned area,The Democratic Republic of Congo,13,5181 ha
WF_COD_20210220_39,Green,1,GREEN,1,The Democratic Republic of Congo,2/20/2021,2021-03-05T00:00:00,22550,GWIS,COD,WF,WF 1000151,5920 in the burned area,The Democratic Republic of Congo,13,22550 ha
WF_COD_20210224_40,Green,1,GREEN,1,"The Democratic Republic of Congo, Central African Republic",2/24/2021,2021-03-05T00:00:00,7237,GWIS,COD,WF,WF 1000138,1409 in the burned area,"The Democratic Republic of Congo, Central African Republic",9,7237 ha
WF_IND_20210224_41,Green,1,GREEN,1,India,2/24/2021,2021-03-05T00:00:00,5152,GWIS,IND,WF,WF 1000139,0 in the burned area,India,9,5152 ha
WF_IND_20210225_42,Green,1,GREEN,1,India,2/25/2021,2021-03-05T00:00:00,20349,GWIS,IND,WF,WF 1000126,212 in the burned area,India,8,20349 ha
WF_IND_20210227_43,Green,1,GREEN,1,India,2/27/2021,2021-03-05T00:00:00,6275,GWIS,IND,WF,WF 1000106,201 in the burned area,India,6,6275 ha
WF_IND_20210226_44,Green,1,GREEN,1,India,2/26/2021,2021-03-05T00:00:00,6464,GWIS,IND,WF,WF 1000120,460 in the burned area,India,7,6464 ha
WF_NGA_20210219_45,Green,1,GREEN,1,Nigeria,2/19/2021,2021-03-05T00:00:00,7941,GWIS,NGA,WF,WF 1000157,7499 in the burned area,Nigeria,14,7941 ha
WF_COD_20210219_46,Green,1,GREEN,1,The Democratic Republic of Congo,2/19/2021,2021-03-05T00:00:00,6585,GWIS,COD,WF,WF 1000158,2240 in the burned area,The Democratic Republic of Congo,14,6585 ha
WF_COD_20210220_47,Green,1,GREEN,1,The Democratic Republic of Congo,2/20/2021,2021-03-05T00:00:00,5306,GWIS,COD,WF,WF 1000155,0 in the burned area,The Democratic Republic of Congo,13,5306 ha
