disaster_id,htmldescription,alertlevel,alertscore,episodealertlevel,episodealertscore,country,fromdate,todate,severity,source,iso3,eventtype,GDACS ID,Duration,Impact
DR_BEL_20200321_543,"Green Drought in Belgium, Switzerland, Germany, France, Luxembourg, Netherlands from: 21 Mar 2020  to: 20 Oct 2020 .",Green,1,Green,0.5,"Belgium, Switzerland, Germany, France, Luxembourg, Netherlands",3/21/2020,2020-10-20T00:00:00,362827,GDO,BEL,DR,DR 1014038,204 days (at 20 Oct 2020),Minor impact for agricultural drought in 362827 km2
DR_LSO_20200321_545,"Orange Drought in Lesotho, South Africa from: 21 Mar 2020  to: 05 Oct 2020 .",Orange,2,Orange,1.25,"Lesotho, South Africa",3/21/2020,2020-10-05T09:27:00,146335,GDO,LSO,DR,DR 1014000,174 days (at 20 Sep 2020),Medium impact for agricultural drought in 146335 km2
DR_IRL_20200321_551,"Green Drought in Ireland, , from: 21 Mar 2020  to: 12 Jun 2020 .",Green,1,Green,0.75,"Ireland, , ",3/21/2020,2020-06-12T17:47:00,255429,GDO,IRL,DR,DR 1014048,72 days (at 10 Jun 2020),Minor impact for agricultural drought in 255429 km2
DR_LKA_20200321_553,Green Drought in Sri Lanka from: 21 Mar 2020  to: 02 Jun 2020 .,Green,1,Green,0.5,Sri Lanka,3/21/2020,2020-06-02T16:37:00,46233,GDO,LKA,DR,DR 1013998,51 days (at 20 May 2020),Minor impact for agricultural drought in 46233 km2
DR_KAZ_20200421_567,"Green Drought in Kazakhstan, Russia from: 21 Apr 2020  to: 06 Sep 2020 .",Green,1,Green,0.25,"Kazakhstan, Russia",4/21/2020,2020-09-06T16:47:00,141898,GDO,KAZ,DR,DR 1014256,122 days (at 30 Aug 2020),Minor impact for agricultural drought in 141898 km2
DR_MEX_20200521_580,Orange Drought in Mexico from: 21 May 2020  to: 20 May 2021 .,Orange,2,Orange,1.25,Mexico,5/21/2020,2021-05-20T00:00:00,22868,GDO,MEX,DR,DR 1014149,355 days (at 20 May 2021),Medium impact for agricultural drought in 22868 km2
DR_KAZ_20200521_582,"Green Drought in Kazakhstan, Russia from: 21 May 2020  to: 10 Feb 2021 .",Green,1,Green,0.75,"Kazakhstan, Russia",5/21/2020,2021-02-10T00:00:00,143815,GDO,KAZ,DR,DR 1014130,256 days (at 10 Feb 2021),Minor impact for agricultural drought in 143815 km2
DR_MEX_20200521_583,"Orange Drought in Mexico, United States from: 21 May 2020  to: 30 Jan 2021 .",Orange,2,Orange,1.25,"Mexico, United States",5/21/2020,2021-01-30T00:00:00,170725,GDO,MEX,DR,DR 1014139,245 days (at 30 Jan 2021),Medium impact for agricultural drought in 170725 km2
DR_MNG_20200521_586,Green Drought in Mongolia from: 21 May 2020  to: 20 Oct 2020 .,Green,1,Green,0.75,Mongolia,5/21/2020,2020-10-20T00:00:00,52266,GDO,MNG,DR,DR 1014138,143 days (at 20 Oct 2020),Minor impact for agricultural drought in 52266 km2
DR_CAN_20200521_592,"Green Drought in Canada, United States from: 21 May 2020  to: 26 Jul 2020 .",Green,1,Green,0.25,"Canada, United States",5/21/2020,2020-07-26T17:17:00,24764,GDO,CAN,DR,DR 1014184,51 days (at 20 Jul 2020),Minor impact for agricultural drought in 24764 km2
DR_PER_20200601_608,Green Drought in Peru from: 01 Jun 2020  to: 20 Dec 2020 .,Green,1,Green,0.5,Peru,6/1/2020,2020-12-20T00:00:00,119720,GDO,PER,DR,DR 1014244,193 days (at 20 Dec 2020),Minor impact for agricultural drought in 119720 km2
DR_MEX_20200601_613,"Orange Drought in Mexico, United States from: 01 Jun 2020  to: 11 Oct 2020 .",Orange,2,Orange,1,"Mexico, United States",6/1/2020,2020-10-11T12:47:00,409779,GDO,MEX,DR,DR 1014182,112 days (at 20 Oct 2020),Medium impact for agricultural drought in 409779 km2
DR_BRA_20200721_621,Green Drought in Brazil from: 21 Jul 2020  to: 17 Oct 2021 .,Green,1,Green,0.5,Brazil,7/21/2020,2021-10-17T00:00:00,146848,GDO,BRA,DR,DR 1014268,417 days (at 20 Sep 2021),Minor impact for agricultural drought in 146848 km2
