Disaster_Event_Id,Alert_Level,Alert_Score,Episode_Alert_Level,Episode_Alert_Score,Country,From_Date,To_Date,Severity,Source,Iso3,Event_Type,GDACS_ID,People_Affected,Duration (days),Burned_Area
WF_IND_20210225_42,Green,1,GREEN,1,India,2/25/2021,3/5/2021,20349,GWIS,IND,WF,WF 1000126,212,8,20349 hectare
WF_IND_20210227_43,Green,1,GREEN,1,India,2/27/2021,3/5/2021,6275,GWIS,IND,WF,WF 1000106,201,6,6275 hectare
WF_IND_20210226_44,Green,1,GREEN,1,India,2/26/2021,3/5/2021,6464,GWIS,IND,WF,WF 1000120,460,7,6464 hectare
WF_NGA_20210219_45,Green,1,GREEN,1,Nigeria,2/19/2021,3/5/2021,7941,GWIS,NGA,WF,WF 1000157,7499,14,7941 hectare
WF_COD_20210219_46,Green,1,GREEN,1,Congo,2/19/2021,3/5/2021,6585,GWIS,COG,WF,WF 1000158,2240,14,6585 hectare
WF_COD_20210220_47,Green,1,GREEN,1,Congo,2/20/2021,3/5/2021,5306,GWIS,COG,WF,WF 1000155,0,13,5306 hectare
WF_COD_20210223_48,Green,1,GREEN,1,Congo,2/23/2021,3/5/2021,7576,GWIS,COG,WF,WF 1000141,3080,10,7576 hectare
WF_COD_20210220_49,Green,1,GREEN,1,Congo,2/20/2021,3/5/2021,25753,GWIS,COG,WF,WF 1000153,1517,13,25753 hectare
WF_COD_20210223_50,Green,1,GREEN,1,Congo,2/23/2021,3/4/2021,5523,GWIS,COG,WF,WF 1000140,786,9,5523 hectare
WF_CAF_20210226_51,Green,1,GREEN,1,Central African Republic,2/26/2021,3/4/2021,5097,GWIS,CAF,WF,WF 1000119,0,6,5097 hectare
WF_THA_20210220_52,Green,1,GREEN,1,Thailand,2/20/2021,3/2/2021,8254,GWIS,THA,WF,WF 1000152,0,10,8254 hectare
WF_COD_20210225_53,Green,1,GREEN,1,Congo,2/25/2021,3/1/2021,6657,GWIS,COG,WF,WF 1000125,0,4,6657 hectare
WF_NPL_20210325_54,GREEN,1,GREEN,1,Nepal,3/25/2021,4/29/2021,11976,GWIS,NPL,WF,WF 1000377,6476,35,11976 hectare
WF_IND_20210322_55,Green,1,GREEN,1,India,3/22/2021,4/29/2021,46221,GWIS,IND,WF,WF 1000205,170150,38,46221 hectare
WF_IND_20210325_56,Green,1,GREEN,1,India,3/25/2021,4/28/2021,12134,GWIS,IND,WF,WF 1000204,18876,34,12134 hectare
WF_IND_20210322_57,Green,1,GREEN,1,India,3/22/2021,4/27/2021,33007,GWIS,IND,WF,WF 1000195,9041,36,33007 hectare
WF_IND_20210326_58,GREEN,1,GREEN,1,India,3/26/2021,4/27/2021,7034,GWIS,IND,WF,WF 1000376,1400,32,7034 hectare
WF_NPL_20210318_59,Green,1,GREEN,1,Nepal,3/18/2021,4/20/2021,11025,GWIS,NPL,WF,WF 1000170,245,33,11025 hectare
WF_LAO_20210317_60,Green,1,GREEN,1,Laos,3/17/2021,4/18/2021,7440,GWIS,LAO,WF,WF 1000089,0,32,7440 hectare
