Disaster_Event_Id,Alert_Level,Alert_Score,Episode_Alert_Level,Episode_Alert_Score,Country,From_Date,To_Date,Severity,Source,Iso3,Event_Type,Death,Displaced,GDACS_ID,,,,
FL_IND_20000731_45,Orange,2,Orange,2,India,7/31/2000,8/4/2000,4.79,DFO,IND,FL,140,4000,FL 1616,,,,
FL_UNK_20000717_46,Orange,2,Orange,2,India,7/17/2000,7/17/2000,6.18,DFO,IND,FL,140,0,FL 1615,,,,
FL_UNK_20000704_47,Red,3,Red,3,Japan,7/4/2000,7/4/2000,4.91,DFO,JPN,FL,45,800000,FL 1612,,,,
FL_UNK_20000704_47,Red,3,Red,3,Philippines,7/4/2000,7/4/2000,4.91,DFO,PHL,FL,45,800000,FL 1612,,,,
FL_IND_20000829_48,Orange,2,Orange,2,India,8/29/2000,9/14/2000,6.58,DFO,IND,FL,578,0,FL 1626,,,,
FL_CHN_20000830_49,Green,1,Green,1,China,8/30/2000,9/10/2000,5.99,DFO,CHN,FL,31,14140,FL 1627,,,,
FL_CHN_20000828_50,Green,1,Green,1,China,8/28/2000,9/5/2000,4.92,DFO,CHN,FL,0,1300,FL 1630,,,,
FL_PRK_20000831_51,Green,1,Green,1,Republic Of Korea,8/31/2000,9/4/2000,4.92,DFO,PRK,FL,42,0,FL 1634,,,,
FL_IND_20000830_52,Green,1,Green,1,India,8/30/2000,9/1/2000,5.04,DFO,IND,FL,40,5000,FL 1628,,,,
FL_IND_20000823_53,Red,3,Red,3,India,8/23/2000,8/31/2000,6.37,DFO,IND,FL,162,3000000,FL 1623,,,,
FL_IND_20000802_54,Red,3,Red,3,India,8/2/2000,8/30/2000,6.98,DFO,IND,FL,637,10504000,FL 1617,,,,
FL_ZAF_20000826_55,Green,1,Green,1,Republic Of Korea,8/26/2000,8/29/2000,5.04,DFO,PRK,FL,7,500,FL 1625,,,,
FL_VNM_20000821_56,Orange,2,Orange,2,Viet Nam,8/21/2000,8/28/2000,5.8,DFO,VNM,FL,14,400500,FL 1622,,,,
FL_UNK_20000828_57,Red,3,Red,3,Cambodia,8/28/2000,8/28/2000,6.32,DFO,KHM,FL,1139,6574000,FL 1629,,,,
FL_UNK_20000828_57,Red,3,Red,3,Thailand,8/28/2000,8/28/2000,6.32,DFO,THA,FL,1139,6574000,FL 1629,,,,
FL_UNK_20000828_57,Red,3,Red,3,Viet Nam,8/28/2000,8/28/2000,6.32,DFO,VNM,FL,1139,6574000,FL 1629,,,,
FL_ETH_20000810_58,Green,1,Green,1,Ethiopia,8/10/2000,8/21/2000,5.84,DFO,ETH,FL,9,30000,FL 1624,,,,
FL_BRA_20000730_59,Orange,2,Orange,2,Brazil,7/30/2000,8/17/2000,5.96,DFO,BRA,FL,70,120000,FL 1618,,,,
FL_THA_20000711_60,Green,1,Green,1,Thailand,7/11/2000,8/10/2000,6.57,DFO,THA,FL,33,25000,FL 1614,,,,
FL_IRN_20000807_61,Green,1,Green,1,Islamic Republic Of Iran,8/7/2000,8/9/2000,4.69,DFO,IRN,FL,8,400,FL 1621,,,,
FL_RUS_20000730_62,Green,1,Green,1,Russia,7/30/2000,8/6/2000,6.19,DFO,RUS,FL,0,24000,FL 1619,,,,
FL_CMR_20000803_63,Green,1,Green,1,Cameroon,8/3/2000,8/5/2000,4.36,DFO,CMR,FL,3,500,FL 1620,,,,
FL_IND_20000731_64,Orange,2,Orange,2,India,7/31/2000,8/4/2000,4.79,DFO,IND,FL,140,4000,FL 1616,,,,
FL_IND_20000918_65,Red,3,Red,3,India,9/18/2000,10/21/2000,7.02,DFO,IND,FL,1468,24000000,FL 1641,,,,
FL_MEX_20000919_66,Green,1,Green,1,Mexico,9/19/2000,9/22/2000,4.71,DFO,MEX,FL,9,0,FL 1640,,,,
FL_LKA_20000918_67,Orange,2,Orange,2,Sri Lanka,9/18/2000,9/22/2000,4.6,DFO,LKA,FL,2,100000,FL 1638,,,,
FL_NGA_20000920_68,Green,1,Green,1,Nigeria,9/20/2000,9/21/2000,4.19,DFO,NGA,FL,0,0,FL 1642,,,,
FL_FRA_20000919_69,Green,1,Green,1,France,9/19/2000,9/20/2000,4.56,DFO,FRA,FL,6,0,FL 1639,,,,
FL_UNK_20000920_70,Green,1,Green,1,Colombia,9/20/2000,9/20/2000,6.36,DFO,COL,FL,9,28000,FL 1644,,,,
FL_BRA_20000916_71,Green,1,Green,1,Brazil,9/16/2000,9/18/2000,3.96,DFO,BRA,FL,3,10000,FL 1637,,,,
FL_JPN_20000911_72,Orange,2,Orange,2,Japan,9/11/2000,9/17/2000,5.48,DFO,JPN,FL,13,100000,FL 1635,,,,
FL_GTM_20000915_73,Green,1,Green,1,Guatemala,9/15/2000,9/17/2000,4.62,DFO,GTM,FL,20,1000,FL 1636,,,,
FL_IND_20000829_74,Orange,2,Orange,2,India,8/29/2000,9/14/2000,6.58,DFO,IND,FL,578,0,FL 1626,,,,
FL_CHN_20000830_75,Green,1,Green,1,China,8/30/2000,9/10/2000,5.99,DFO,CHN,FL,31,14140,FL 1627,,,,
FL_SLV_20000905_76,Green,1,Green,1,El Salvador,9/5/2000,9/8/2000,4.54,DFO,SLV,FL,2,400,FL 1633,,,,
FL_CHN_20000901_77,Green,1,Green,1,China,9/1/2000,9/6/2000,5.19,DFO,CHN,FL,47,46000,FL 1631,,,,
FL_PHL_20000904_78,Green,1,Green,1,Philippines,9/4/2000,9/5/2000,3.51,DFO,PHL,FL,3,5000,FL 1632,,,,
FL_CHN_20000828_79,Green,1,Green,1,China,8/28/2000,9/5/2000,4.92,DFO,CHN,FL,0,1300,FL 1630,,,,
FL_PRK_20000831_80,Green,1,Green,1,Republic Of Korea,8/31/2000,9/4/2000,4.92,DFO,PRK,FL,42,0,FL 1634,,,,
FL_IND_20000830_81,Green,1,Green,1,India,8/30/2000,9/1/2000,5.04,DFO,IND,FL,40,5000,FL 1628,,,,
FL_PHL_20001028_82,Orange,2,Orange,2,Philippines,10/28/2000,10/31/2000,4.45,DFO,PHL,FL,41,100000,FL 1655,,,,
FL_IDN_20001029_83,Green,1,Green,1,Indonesia,10/29/2000,10/31/2000,4.61,DFO,IDN,FL,40,10000,FL 1656,,,,
FL_UNK_20001029_84,Green,1,Green,1,Ireland,10/29/2000,10/29/2000,5.59,DFO,IRL,FL,13,6000,FL 1657,,,,
FL_UNK_20001029_84,Green,1,Green,1,Uk,10/29/2000,10/29/2000,5.59,DFO,UGA,FL,13,6000,FL 1657,,,,
FL_ESP_20001020_85,Green,1,Green,1,Spain,10/20/2000,10/26/2000,5.27,DFO,ESP,FL,8,500,FL 1651,,,,
FL_ISR_20001024_86,Green,1,Green,1,Israel,10/24/2000,10/26/2000,3.98,DFO,ISR,FL,1,600,FL 1654,,,,
FL_DZA_20001022_87,Green,1,Green,1,Algeria,10/22/2000,10/25/2000,5.61,DFO,DZA,FL,28,400,FL 1653,,,,
FL_USA_20001022_88,Green,1,Green,1,Usa,10/22/2000,10/23/2000,2.8,DFO,USA,FL,1,500,FL 1652,,,,
FL_ITA_20001014_89,Green,1,Green,1,Italy,10/14/2000,10/22/2000,5.9,DFO,ITA,FL,37,43000,FL 1650,,,,
FL_IND_20000918_90,Red,3,Red,3,India,9/18/2000,10/21/2000,7.02,DFO,IND,FL,1468,24000000,FL 1641,,,,
FL_VNM_20001010_91,Orange,2,Orange,2,Viet Nam,10/10/2000,10/19/2000,5.86,DFO,VNM,FL,23,200000,FL 1645,,,,
FL_CHN_20001012_92,Orange,2,Orange,2,China,10/12/2000,10/18/2000,5.19,DFO,CHN,FL,10,200000,FL 1649,,,,
FL_MEX_20001010_93,Green,1,Green,1,Mexico,10/10/2000,10/17/2000,4.39,DFO,MEX,FL,0,1500,FL 1647,,,,
FL_BRA_20001012_94,Green,1,Green,1,Brazil,10/12/2000,10/15/2000,4.61,DFO,BRA,FL,6,5000,FL 1648,,,,
FL_GBR_20001011_95,Green,1,Green,1,Uk,10/11/2000,10/14/2000,4.33,DFO,UGA,FL,0,1000,FL 1646,,,,
FL_BLZ_20001001_96,Green,1,Green,1,Belize,10/1/2000,10/5/2000,4.29,DFO,BLZ,FL,14,10621,FL 1643,,,,
FL_PHL_20001130_97,Green,1,Green,1,Philippines,11/30/2000,12/3/2000,4.76,DFO,PHL,FL,12,70000,FL 1673,,,,
FL_IDN_20001130_98,Green,1,Green,1,Indonesia,11/30/2000,12/3/2000,4.4,DFO,IDN,FL,14,30000,FL 1676,,,,
FL_IRN_20001130_99,Green,1,Green,1,Islamic Republic Of Iran,11/30/2000,12/2/2000,5.4,DFO,IRN,FL,0,0,FL 1674,,,,
FL_AUS_20001117_100,Green,1,Green,1,Australia,11/17/2000,12/2/2000,6.55,DFO,AUS,FL,0,600,FL 1667,,,,
